ID_lakepulse,bottle,date,comments,Comment_CP,genus ,species,division,tow length (m),net radius (cm),tow volume filtered (L),total sample volume (ml),aliquot (ml) ,count factor,#individuals counted,# / L  ,biomass factor (µg/ind),species biomass (µg d.w./L) ,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
 10-277 ,Zoop1+Zoop2,na,na,na,Microcyclops,spp.,Copepoda,6.5,10,204.20,225,1.9,0.58,2,1.160,1.746,2.025,0.62,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-277 ,Zoop1+Zoop2,na,na,na,Hydracarina,,Large Taxa Scan,6.5,10,204.20,225,225.0,0.00,1,0.005,,,,,,,,,,,,
 10-277 ,Zoop1+Zoop2,na,na,na,ostracod,,Large Taxa Scan,6.5,10,204.20,225,225.0,0.00,5,0.024,,,,,,,,,,,,
 11-539 ,Zoop1,na,High algae.,,Chydorus ,sphaericus,Cladocera,6.5,10,204.20,132,0.8,0.81,201,162.411,0.458,74.449,0.21,0.25,0.20,0.27,0.24,0.23,0.20,0.23,0.23,0.25
 11-539 ,Zoop1,na,High algae.,,Daphnia,pulicaria,Cladocera,6.5,10,204.20,132,0.8,0.81,6,4.848,18.978,92.006,1.22,1.73,0.89,1.17,0.89,0.84,0.00,0.00,0.00,0.00
 11-539 ,Zoop1,na,High algae.,,calanoid,copepodid,Copepoda,6.5,10,204.20,132,0.8,0.81,51,41.209,3.321,136.874,0.74,0.89,0.89,0.90,0.89,0.73,0.94,0.91,0.55,0.89
 11-539 ,Zoop1,na,High algae.,,cyclopoid,copepodid,Copepoda,6.5,10,204.20,132,0.8,0.81,4,3.232,1.344,4.345,0.50,0.62,0.45,0.59,0.00,0.00,0.00,0.00,0.00,0.00
 11-539 ,Zoop1,na,High algae.,,Diacyclops,thomasi,Copepoda,6.5,10,204.20,132,0.8,0.81,4,3.232,1.767,5.710,0.84,0.79,0.81,1.11,0.00,0.00,0.00,0.00,0.00,0.00
 06-303 ,Zoop1,na,High algae.,na,Bosmina,longirostris,Cladocera,6.6,10,207.35,120,6.0,0.10,170,16.398,0.358,5.871,0.20,0.25,0.23,0.25,0.29,0.20,0.20,0.25,0.18,0.22
 06-303 ,Zoop1,na,High algae.,na,Ceriodaphnia,spp.,Cladocera,6.6,10,207.35,120,6.0,0.10,200,19.291,0.889,17.153,0.43,0.43,0.30,0.36,0.40,0.45,0.33,0.40,0.41,0.40
 06-303 ,Zoop1,na,High algae.,na,Chydorus ,sphaericus,Cladocera,6.6,10,207.35,120,6.0,0.10,16,1.543,0.466,0.719,0.22,0.21,0.20,0.22,0.19,0.21,0.22,0.25,0.32,0.23
 06-303 ,Zoop1,na,High algae.,na,Daphnia,spp.,Cladocera,6.6,10,207.35,120,6.0,0.10,5,0.482,4.692,2.263,0.64,0.74,0.61,0.77,0.71,0.00,0.00,0.00,0.00,0.00
 06-303 ,Zoop1,na,High algae.,na,Acanthocyclops,robustus,Copepoda,6.6,10,207.35,120,6.0,0.10,3,0.289,3.722,1.077,0.79,0.75,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 06-303 ,Zoop1,na,High algae.,na,calanoid,copepodid,Copepoda,6.6,10,207.35,120,6.0,0.10,94,9.067,2.186,19.823,0.64,0.60,0.59,0.50,0.59,0.82,0.72,0.74,0.61,0.72
 06-303 ,Zoop1,na,High algae.,na,cyclopoid,copepodid,Copepoda,6.6,10,207.35,120,6.0,0.10,169,16.301,0.961,15.659,0.50,0.43,0.43,0.51,0.37,0.52,0.35,0.50,0.52,0.66
 06-303 ,Zoop1,na,High algae.,na,Skistodiaptomus,oregonensis,Copepoda,6.6,10,207.35,120,6.0,0.10,8,0.772,4.859,3.749,1.06,0.99,1.07,1.04,1.06,1.05,1.04,1.07,0.00,0.00
 06-303 ,Zoop1,na,High algae.,na,Chaoborus,spp.,Utermöhl Chamber,6.6,10,207.35,120,6.0,0.10,2,0.193,,,,,,,,,,,,
 06-303 ,Zoop1,na,High algae.,na,Hydracarina,,Utermöhl Chamber,6.6,10,207.35,120,6.0,0.10,1,0.096,,,,,,,,,,,,
 10-361 ,Zoop1,na,na,na,Bosmina,longirostris,Cladocera,6.6,10,207.35,106,12.0,0.04,202,8.606,0.641,5.514,0.33,0.28,0.29,0.28,0.26,0.24,0.29,0.28,0.26,0.36
 10-361 ,Zoop1,na,na,na,Ceriodaphnia,spp.,Cladocera,6.6,10,207.35,106,12.0,0.04,141,6.007,0.656,3.940,0.32,0.27,0.33,0.48,0.25,0.33,0.44,0.29,0.36,0.38
 10-361 ,Zoop1,na,na,na,Chydorus ,sphaericus,Cladocera,6.6,10,207.35,106,12.0,0.04,1,0.043,0.586,0.025,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-361 ,Zoop1,na,na,na,Daphnia,spp.,Cladocera,6.6,10,207.35,106,12.0,0.04,17,0.724,1.192,0.863,0.39,0.41,0.45,0.41,0.40,0.40,0.48,0.40,0.40,0.45
 10-361 ,Zoop1,na,na,na,Diaphanosoma,brachyurum,Cladocera,6.6,10,207.35,106,12.0,0.04,1,0.043,0.746,0.032,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 10-361 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,6.6,10,207.35,106,12.0,0.04,182,7.754,1.511,11.716,0.65,0.51,0.51,0.42,0.44,0.82,0.44,0.63,0.39,0.40
 10-361 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,6.6,10,207.35,106,12.0,0.04,143,6.092,2.114,12.881,0.43,0.89,0.45,0.81,0.69,0.50,0.52,0.55,0.61,0.40
 10-361 ,Zoop1,na,na,na,Mesocyclops,edax,Copepoda,6.6,10,207.35,106,12.0,0.04,10,0.426,9.892,4.214,1.32,0.89,0.81,0.94,1.56,0.94,0.91,1.49,1.04,0.89
 10-361 ,Zoop1,na,na,na,Skistodiaptomus,oregonensis,Copepoda,6.6,10,207.35,106,12.0,0.04,1,0.043,5.200,0.222,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Ceriodaphnia,spp.,Cladocera,6.6,10,207.35,360,23.9,0.07,73,5.303,2.430,12.888,0.64,0.54,0.35,0.59,0.51,0.40,0.64,0.45,0.50,0.59
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Daphnia,pulicaria,Cladocera,6.6,10,207.35,360,23.9,0.07,200,14.529,14.178,205.991,0.79,1.29,1.44,1.04,0.99,0.81,0.99,0.64,1.04,1.24
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,calanoid,copepodid,Copepoda,6.6,10,207.35,360,23.9,0.07,23,1.671,2.027,3.386,0.59,0.40,0.50,0.62,0.75,0.48,0.59,0.38,0.62,1.14
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,cyclopoid,copepodid,Copepoda,6.6,10,207.35,360,23.9,0.07,38,2.761,1.324,3.655,0.46,0.52,0.46,0.30,0.64,0.35,0.45,0.61,0.43,0.81
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Diacyclops,thomasi,Copepoda,6.6,10,207.35,360,23.9,0.07,3,0.218,1.285,0.280,0.69,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Skistodiaptomus,oregonensis,Copepoda,6.6,10,207.35,360,23.9,0.07,4,0.291,5.705,1.658,1.09,1.19,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Chaoborus,spp.,Utermöhl Chamber,6.6,10,207.35,360,23.9,0.07,4,0.291,,,,,,,,,,,,
 12-648 ,Zoop1+Zoop2+Zoop3,na,High algae.,,Hydracarina,,Utermöhl Chamber,6.6,10,207.35,360,23.9,0.07,1,0.073,,,,,,,,,,,,
 07-222 ,Zoop1,na,na,na,Bosmina,longirostris,Cladocera,6.68,10,209.86,112,14.0,0.04,1,0.038,0.440,0.017,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-222 ,Zoop1,na,na,na,Daphnia,retrocurva,Cladocera,6.68,10,209.86,112,14.0,0.04,7,0.267,4.684,1.250,0.64,0.62,1.73,0.89,0.75,0.81,0.53,0.00,0.00,0.00
 07-222 ,Zoop1,na,na,na,Diaphanosoma,brachyurum,Cladocera,6.68,10,209.86,112,14.0,0.04,40,1.525,1.024,1.561,0.50,0.43,0.84,0.67,0.79,0.43,0.41,0.71,0.51,0.85
 07-222 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,6.68,10,209.86,112,14.0,0.04,89,3.393,1.505,5.106,0.55,0.53,0.75,0.42,0.73,0.53,0.38,0.54,0.39,0.37
 07-222 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,6.68,10,209.86,112,14.0,0.04,35,1.334,0.871,1.162,0.77,0.36,0.42,0.38,0.37,0.32,0.43,0.54,0.38,0.42
 07-222 ,Zoop1,na,na,na,Epischura,lacustris,Copepoda,6.68,10,209.86,112,14.0,0.04,6,0.229,13.039,2.982,1.47,1.54,1.57,1.60,1.53,1.63,0.00,0.00,0.00,0.00
 07-222 ,Zoop1,na,na,na,Leptodiaptomus,minutus,Copepoda,6.68,10,209.86,112,14.0,0.04,215,8.196,1.930,15.820,0.74,0.85,0.96,0.91,0.83,0.77,0.85,0.90,0.85,0.94
 07-222 ,Zoop1,na,na,na,Mesocyclops,edax,Copepoda,6.68,10,209.86,112,14.0,0.04,22,0.839,6.793,5.697,1.17,0.85,0.84,1.13,0.92,0.85,1.22,1.27,1.15,0.91
 07-222 ,Zoop1,na,na,na,Skistodiaptomus,pallidus,Copepoda,6.68,10,209.86,112,14.0,0.04,3,0.114,4.985,0.570,1.07,1.08,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Alona,guttata,Cladocera,6.7,10,210.49,124,124.0,0.00,3,0.014,0.276,0.004,0.26,0.27,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Bosmina,longirostris,Cladocera,6.7,10,210.49,124,124.0,0.00,29,0.138,0.395,0.054,0.28,0.23,0.23,0.19,0.24,0.28,0.23,0.25,0.20,0.24
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Ceriodaphnia,spp.,Cladocera,6.7,10,210.49,124,124.0,0.00,1,0.005,0.657,0.003,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Chydorus ,sphaericus,Cladocera,6.7,10,210.49,124,124.0,0.00,7,0.033,0.470,0.016,0.23,0.24,0.24,0.19,0.22,0.26,0.25,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Diaphanosoma,brachyurum,Cladocera,6.7,10,210.49,124,124.0,0.00,1,0.005,0.217,0.001,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,ostracod,,Ostracoda,6.7,10,210.49,124,124.0,0.00,6,0.029,0.038,0.001,0.16,0.13,0.15,0.15,0.14,0.16,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,calanoid,copepodid,Copepoda,6.7,10,210.49,124,124.0,0.00,3,0.014,1.000,0.014,0.33,0.50,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,cyclopoid,copepodid,Copepoda,6.7,10,210.49,124,124.0,0.00,10,0.048,0.740,0.035,0.47,0.52,0.42,0.44,0.45,0.39,0.39,0.44,0.52,0.50
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Leptodiaptomus,minutus,Copepoda,6.7,10,210.49,124,124.0,0.00,2,0.010,1.967,0.019,0.85,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-227 ,Zoop1,na,Low abundance. Unable to meet tally. ,na,Hydracarina,,Utermöhl Chamber,6.7,10,210.49,124,124.0,0.00,4,0.019,,,,,,,,,,,,
 09-605 ,Zoop1,na,na,,Bosmina,longirostris,Cladocera,6.7,10,210.49,127,67.0,0.01,2,0.018,0.728,0.013,0.30,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-605 ,Zoop1,na,na,,Ceriodaphnia,spp.,Cladocera,6.7,10,210.49,127,67.0,0.01,5,0.045,0.451,0.020,0.32,0.30,0.33,0.29,0.35,0.00,0.00,0.00,0.00,0.00
 09-605 ,Zoop1,na,na,,Daphnia,pulicaria,Cladocera,6.7,10,210.49,127,67.0,0.01,179,1.612,31.147,50.208,1.23,0.85,2.63,1.13,1.21,1.10,1.07,1.61,1.01,0.97
 09-605 ,Zoop1,na,na,,Diaphanosoma,birgei,Cladocera,6.7,10,210.49,127,67.0,0.01,2,0.018,0.528,0.010,0.51,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-605 ,Zoop1,na,na,,Acanthodiaptomus,denticornis,Copepoda,6.7,10,210.49,127,67.0,0.01,7,0.063,10.286,0.648,1.50,1.52,1.80,1.96,1.63,1.71,1.57,0.00,0.00,0.00
 09-605 ,Zoop1,na,na,,calanoid,copepodid,Copepoda,6.7,10,210.49,127,67.0,0.01,65,0.585,1.747,1.023,0.51,0.55,0.62,0.54,0.72,0.61,0.53,0.48,0.50,0.67
 09-605 ,Zoop1,na,na,,cyclopoid,copepodid,Copepoda,6.7,10,210.49,127,67.0,0.01,200,1.801,1.007,1.813,0.44,0.42,0.34,0.45,0.37,0.82,0.43,0.46,0.48,0.41
 09-605 ,Zoop1,na,na,,Diacyclops,thomasi,Copepoda,6.7,10,210.49,127,67.0,0.01,9,0.081,2.137,0.173,1.05,0.79,1.10,1.03,1.10,0.91,0.87,1.01,0.77,0.00
 09-605 ,Zoop1,na,na,,Skistodiaptomus,oregonensis,Copepoda,6.7,10,210.49,127,67.0,0.01,16,0.144,6.255,0.901,1.27,1.47,1.23,1.31,1.33,1.13,1.10,1.03,1.13,1.09
 09-605 ,Zoop1,na,na,,Chaoborus,spp.,Large Taxa Scan,6.7,10,210.49,127,127.0,0.00,13,0.062,,,,,,,,,,,,
 09-605 ,Zoop1,na,na,,Hydracarina,,Large Taxa Scan,6.7,10,210.49,127,127.0,0.00,1,0.005,,,,,,,,,,,,
 09-605 ,Zoop1,na,na,,Leptodora,kindtii,Large Taxa Scan,6.7,10,210.49,127,127.0,0.00,2,0.010,,,,,,,,,,,,
 09-605 ,Zoop1,na,na,,Chaoborus,spp.,Utermöhl Chamber,6.7,10,210.49,127,67.0,0.01,7,0.063,,,,,,,,,,,,
 09-605 ,Zoop1,na,na,,Leptodora,kindtii,Utermöhl Chamber,6.7,10,210.49,127,67.0,0.01,1,0.009,,,,,,,,,,,,
 07-016 ,Zoop1,30-Jul-2017,NA,,Bosmina,longirostris,Cladocera,6.75,10,212.06,122,3.0,0.19,2,0.384,0.675,0.259,0.35,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-016 ,Zoop1,30-Jul-2017,NA,,Daphnia,spp.,Cladocera,6.75,10,212.06,122,3.0,0.19,1,0.192,28.167,5.402,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-016 ,Zoop1,30-Jul-2017,NA,,Diaphanosoma,brachyurum,Cladocera,6.75,10,212.06,122,3.0,0.19,5,0.959,0.415,0.398,0.40,0.37,0.72,0.35,0.38,0.00,0.00,0.00,0.00,0.00
 07-016 ,Zoop1,30-Jul-2017,NA,,cyclopoid,copepodid,Copepoda,6.75,10,212.06,122,3.0,0.19,44,8.438,3.318,27.997,0.84,0.59,0.64,0.61,0.89,0.40,0.82,0.87,0.59,0.67
 07-016 ,Zoop1,30-Jul-2017,NA,,Leptodiaptomus,minutus copepodid,Copepoda,6.75,10,212.06,122,3.0,0.19,40,7.671,2.562,19.653,0.74,0.67,0.69,0.78,0.64,0.70,0.59,0.45,0.78,0.45
 07-016 ,Zoop1,30-Jul-2017,NA,,Leptodiaptomus,minutus,Copepoda,6.75,10,212.06,122,3.0,0.19,166,31.834,2.641,84.079,0.89,1.02,0.99,0.92,0.99,1.03,0.90,0.95,0.97,1.02
 07-016 ,Zoop1,30-Jul-2017,NA,,Mesocyclops,edax,Copepoda,6.75,10,212.06,122,3.0,0.19,9,1.726,2.944,5.081,0.79,0.87,0.89,0.89,0.92,0.83,0.82,0.89,0.84,0.00
 07-016 ,Zoop1,30-Jul-2017,NA,,Tropocyclops,prasinus,Copepoda,6.75,10,212.06,122,3.0,0.19,1,0.192,0.847,0.162,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 07-225 ,Zoop1,na,Specimens degraded.,na,Daphnia,spp.,Cladocera,6.75,10,212.06,126,5.0,0.12,68,8.081,8.634,69.773,0.74,0.97,0.99,0.69,0.99,0.69,0.63,0.94,0.89,1.09
 07-225 ,Zoop1,na,Specimens degraded.,na,Diaphanosoma,birgei,Cladocera,6.75,10,212.06,126,5.0,0.12,80,9.507,1.331,12.656,0.74,0.81,0.59,0.52,0.89,0.39,0.45,0.79,0.77,0.84
 07-225 ,Zoop1,na,Specimens degraded.,na,Eubosmina,tubicen,Cladocera,6.75,10,212.06,126,5.0,0.12,76,9.031,1.907,17.220,0.32,0.33,0.59,0.43,0.51,0.32,0.36,0.42,0.59,0.37
 07-225 ,Zoop1,na,Specimens degraded.,na,Leptodiaptomus,minutus copepodid,Copepoda,6.75,10,212.06,126,5.0,0.12,188,22.341,2.547,56.892,0.54,0.69,0.50,0.65,0.78,0.69,0.70,0.72,0.72,0.57
 07-225 ,Zoop1,na,Specimens degraded.,na,Leptodiaptomus,minutus,Copepoda,6.75,10,212.06,126,5.0,0.12,76,9.031,2.756,24.889,0.96,0.99,1.02,0.89,1.04,0.99,0.99,1.04,1.02,0.89
 07-225 ,Zoop1,na,Specimens degraded.,na,Hydracarina,,Utermöhl Chamber,6.75,10,212.06,126,5.0,0.12,2,0.238,,,,,,,,,,,,
 08-216 ,Zoop1,6-Aug-2017,NA,,Bosmina,longirostris,Cladocera,6.8,10,213.63,110,3.0,0.17,1,0.172,0.586,0.101,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 08-216 ,Zoop1,6-Aug-2017,NA,,Daphnia,retrocurva,Cladocera,6.8,10,213.63,110,3.0,0.17,215,36.902,3.704,136.672,1.14,0.65,0.89,0.79,0.88,1.29,0.80,0.94,1.09,0.74
 08-216 ,Zoop1,6-Aug-2017,NA,,Diaphanosoma,brachyurum,Cladocera,6.8,10,213.63,110,3.0,0.17,78,13.388,1.284,17.184,0.81,0.75,0.66,0.69,0.52,0.48,0.70,0.76,0.45,0.95
 08-216 ,Zoop1,6-Aug-2017,NA,,Holopedium,glacialis,Cladocera,6.8,10,213.63,110,3.0,0.17,1,0.172,0.741,0.127,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 08-216 ,Zoop1,6-Aug-2017,NA,,ostracod,,Ostracoda,6.8,10,213.63,110,3.0,0.17,3,0.515,0.268,0.138,0.25,0.31,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 08-216 ,Zoop1,6-Aug-2017,NA,,cyclopoid,copepodid,Copepoda,6.8,10,213.63,110,3.0,0.17,90,15.447,0.535,8.263,0.48,0.32,0.35,0.46,0.38,0.45,0.40,0.50,0.38,0.37
 08-216 ,Zoop1,6-Aug-2017,NA,,Leptodiaptomus,minutus copepodid,Copepoda,6.8,10,213.63,110,3.0,0.17,50,8.582,1.624,13.941,0.35,0.55,0.59,0.54,0.66,0.45,0.79,0.45,0.71,0.33
 08-216 ,Zoop1,6-Aug-2017,NA,,Leptodiaptomus,minutus,Copepoda,6.8,10,213.63,110,3.0,0.17,16,2.746,2.361,6.485,0.89,0.84,0.91,0.94,0.80,0.99,1.00,1.09,0.90,0.89
 08-216 ,Zoop1,6-Aug-2017,NA,,Tropocyclops,prasinus copepodid,Copepoda,6.8,10,213.63,110,3.0,0.17,4,0.687,0.347,0.238,0.32,0.40,0.38,0.35,0.00,0.00,0.00,0.00,0.00,0.00
 08-216 ,Zoop1,6-Aug-2017,NA,,Tropocyclops,prasinus,Copepoda,6.8,10,213.63,110,3.0,0.17,4,0.687,1.046,0.718,0.50,0.49,0.50,0.56,0.00,0.00,0.00,0.00,0.00,0.00
 08-216 ,Zoop1,6-Aug-2017,NA,,ostracod,,Large Taxa Scan,6.8,10,213.63,110,110.0,0.00,62,0.290,,,,,,,,,,,,
 09-451 ,Zoop1,na,na,na,Bosmina,longirostris,Cladocera,6.8,10,213.63,114,1.1,0.49,22,10.673,0.403,4.304,0.20,0.20,0.32,0.23,0.25,0.20,0.23,0.30,0.20,0.23
 09-451 ,Zoop1,na,na,na,Ceriodaphnia,spp.,Cladocera,6.8,10,213.63,114,1.1,0.49,10,4.851,0.637,3.090,0.40,0.40,0.34,0.26,0.28,0.50,0.30,0.30,0.27,0.35
 09-451 ,Zoop1,na,na,na,Chydorus ,sphaericus,Cladocera,6.8,10,213.63,114,1.1,0.49,201,97.510,0.362,35.274,0.20,0.20,0.19,0.16,0.25,0.24,0.26,0.22,0.20,0.22
 09-451 ,Zoop1,na,na,na,Daphnia,galeata mendotae,Cladocera,6.8,10,213.63,114,1.1,0.49,1,0.485,2.910,1.412,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-451 ,Zoop1,na,na,na,Daphnia,spp.,Cladocera,6.8,10,213.63,114,1.1,0.49,29,14.069,2.161,30.400,0.54,0.54,0.51,0.44,0.50,0.47,0.59,0.54,0.60,0.43
 09-451 ,Zoop1,na,na,na,Daphnia,retrocurva,Cladocera,6.8,10,213.63,114,1.1,0.49,22,10.673,3.026,32.299,0.95,0.69,0.84,0.99,0.89,0.94,0.97,0.98,0.72,0.92
 09-451 ,Zoop1,na,na,na,Diaphanosoma,birgei,Cladocera,6.8,10,213.63,114,1.1,0.49,1,0.485,0.333,0.161,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-451 ,Zoop1,na,na,na,ostracod,,Ostracoda,6.8,10,213.63,114,1.1,0.49,3,1.455,0.072,0.105,0.14,0.15,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 09-451 ,Zoop1,na,na,na,calanoid,copepodid,Copepoda,6.8,10,213.63,114,1.1,0.49,7,3.396,2.862,9.718,0.64,0.69,0.79,0.80,0.64,0.99,0.79,0.00,0.00,0.00
 09-451 ,Zoop1,na,na,na,cyclopoid,copepodid,Copepoda,6.8,10,213.63,114,1.1,0.49,102,49.483,0.584,28.891,0.35,0.33,0.37,0.36,0.47,0.42,0.34,0.43,0.45,0.59
 09-451 ,Zoop1,na,na,na,Diacyclops,thomasi,Copepoda,6.8,10,213.63,114,1.1,0.49,21,10.188,1.699,17.311,0.94,0.94,0.92,0.90,1.01,0.89,0.71,0.88,0.73,0.91
 09-451 ,Zoop1,na,na,na,Skistodiaptomus,oregonensis,Copepoda,6.8,10,213.63,114,1.1,0.49,4,1.940,5.350,10.381,1.07,1.12,1.06,1.18,0.00,0.00,0.00,0.00,0.00,0.00
 09-451 ,Zoop1,na,na,na,Chaoborus,spp.,Large Taxa Scan,6.8,10,213.63,114,114.0,0.00,1,0.005,,,,,,,,,,,,
 04-578 ,Zoop1,na,na,,Bosmina,longirostris,Cladocera,6.8,10,213.63,122,46.0,0.01,237,2.942,0.732,2.155,0.44,0.37,0.29,0.31,0.21,0.23,0.31,0.16,0.24,0.34
 04-578 ,Zoop1,na,na,,Ceriodaphnia,spp.,Cladocera,6.8,10,213.63,122,46.0,0.01,3,0.037,0.426,0.016,0.32,0.30,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 04-578 ,Zoop1,na,na,,Daphnia,longiremis,Cladocera,6.8,10,213.63,122,46.0,0.01,138,1.713,0.205,0.351,0.44,0.41,0.33,0.42,0.31,0.39,0.50,0.41,0.34,0.41
 04-578 ,Zoop1,na,na,,Daphnia,spp.,Cladocera,6.8,10,213.63,122,46.0,0.01,14,0.174,1.128,0.196,0.38,0.32,0.26,0.31,0.41,0.70,0.39,0.26,0.45,0.26
 04-578 ,Zoop1,na,na,,calanoid,copepodid,Copepoda,6.8,10,213.63,122,46.0,0.01,17,0.211,1.499,0.316,0.51,0.48,0.47,0.64,0.43,0.42,0.69,0.67,0.48,0.46
 04-578 ,Zoop1,na,na,,cyclopoid,copepodid,Copepoda,6.8,10,213.63,122,46.0,0.01,104,1.291,0.789,1.018,0.51,0.34,0.36,0.45,0.38,0.41,0.67,0.40,0.48,0.46
 04-578 ,Zoop1,na,na,,Diacyclops,thomasi,Copepoda,6.8,10,213.63,122,46.0,0.01,7,0.087,1.496,0.130,0.82,0.80,0.84,0.83,0.87,0.90,0.87,0.00,0.00,0.00
 04-578 ,Zoop1,na,na,,Hydracarina,,Large Taxa Scan,6.8,10,213.63,122,122.0,0.00,1,0.005,,,,,,,,,,,,
 04-578 ,Zoop1,na,na,,Hydracarina,,Utermöhl Chamber,6.8,10,213.63,122,46.0,0.01,2,0.025,,,,,,,,,,,,
 12-670 ,Zoop1,na,na,,Alona,guttata,Cladocera,6.8,10,213.63,116,4.0,0.14,1,0.136,0.230,0.031,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 12-670 ,Zoop1,na,na,,Bosmina,longirostris,Cladocera,6.8,10,213.63,116,4.0,0.14,222,30.136,0.650,19.598,0.25,0.30,0.30,0.33,0.25,0.33,0.22,0.37,0.28,0.23
 12-670 ,Zoop1,na,na,,Ceriodaphnia,spp.,Cladocera,6.8,10,213.63,116,4.0,0.14,8,1.086,0.685,0.744,0.40,0.35,0.35,0.45,0.32,0.28,0.30,0.40,0.00,0.00
 12-670 ,Zoop1,na,na,,Diaphanosoma,birgei,Cladocera,6.8,10,213.63,116,4.0,0.14,219,29.729,0.817,24.280,0.57,0.68,0.54,0.67,0.42,0.55,0.59,0.74,0.50,0.69
 12-670 ,Zoop1,na,na,,calanoid,copepodid,Copepoda,6.8,10,213.63,116,4.0,0.14,28,3.801,2.674,10.164,0.99,0.52,0.53,0.91,0.54,0.97,0.74,0.64,0.91,0.45
 12-670 ,Zoop1,na,na,,cyclopoid,copepodid,Copepoda,6.8,10,213.63,116,4.0,0.14,40,5.430,2.438,13.236,0.74,0.74,0.42,0.48,0.32,0.50,0.90,0.64,0.81,0.52
 12-670 ,Zoop1,na,na,,Diacyclops,thomasi,Copepoda,6.8,10,213.63,116,4.0,0.14,17,2.308,2.273,5.245,0.81,1.09,1.09,1.04,1.02,1.04,0.84,0.94,1.04,0.96
 12-670 ,Zoop1,na,na,,Eucyclops ,elegans,Copepoda,6.8,10,213.63,116,4.0,0.14,1,0.136,6.853,0.930,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 12-670 ,Zoop1,na,na,,Skistodiaptomus,oregonensis,Copepoda,6.8,10,213.63,116,4.0,0.14,36,4.887,5.613,27.429,1.19,1.09,1.24,1.14,1.04,1.06,1.04,1.04,1.24,1.29
 12-670 ,Zoop1,na,na,,Hydracarina,,Large Taxa Scan,6.8,10,213.63,116,116.0,0.00,4,0.019,,,,,,,,,,,,
 12-670 ,Zoop1,na,na,,Hydracarina,,Utermöhl Chamber,6.8,10,213.63,116,4.0,0.14,1,0.136,,,,,,,,,,,,
