Genus,Classic group,Class,Order,Family,Method used to reach final decision,Resource acquisition strategy
Gymnodinium,DINOFLAGELLATES,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Litt. Rev.,Mixotroph
Nusuttodinium,DINOFLAGELLATES,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Litt. Rev.,Mixotroph
Gyrodinium,DINOFLAGELLATES,Dinophyceae,Gymnodiniales,Gyrodiniaceae,Litt. Rev.,Mixotroph
Glochidinium,DINOFLAGELLATES,Dinophyceae,Peridiniales,Peridiniaceae,Litt. Rev.,Mixotroph
Parvodinium,DINOFLAGELLATES,Dinophyceae,Peridiniales,Peridiniaceae,Litt. Rev.,Mixotroph
Peridinium,DINOFLAGELLATES,Dinophyceae,Peridiniales,Peridiniaceae,DB Scrap.,Mixotroph
Glenodinium,DINOFLAGELLATES,Dinophyceae,Peridiniales,Peridiniales incertae sedis,Litt. Rev.,Mixotroph
Biecheleria,DINOFLAGELLATES,Dinophyceae,Suessiales,Suessiaceae,Litt. Rev.,Mixotroph
Apocalathium,DINOFLAGELLATES,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Litt. Rev.,Mixotroph
Fusiperidinium,DINOFLAGELLATES,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Litt. Rev.,Mixotroph
Chromulina,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Chromulinaceae,DB Scrap.,Mixotroph
Ochromonas,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Chromulinaceae,DB Scrap.,Mixotroph
Uroglena,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Chromulinaceae,Litt. Rev.,Mixotroph
Chrysamoeba,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Chrysamoebaceae,Litt. Rev.,Mixotroph
Chrysosphaera,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Chrysosphaeraceae,Litt. Rev.,Mixotroph
Chrysococcus,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,Litt. Rev.,Mixotroph
Chrysoikos,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,Litt. Rev.,Mixotroph
Chrysolykos,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,DB Scrap.,Mixotroph
Dinobryon,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,DB Scrap.,Mixotroph
Epipyxis,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,DB Scrap.,Mixotroph
Kephyrion,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,DB Scrap.,Mixotroph
Pseudokephyrion,CHRYSOPHYTES,Chrysophyceae,Chromulinales,Dinobryaceae,Litt. Rev.,Mixotroph
Bitrichia,CHRYSOPHYTES,Chrysophyceae,Hibberdiales,Stylococcaceae,Litt. Rev.,Autotroph
Lagynion,CHRYSOPHYTES,Chrysophyceae,Hibberdiales,Stylococcaceae,Litt. Rev.,Autotroph
Stephanoporos,CHRYSOPHYTES,Chrysophyceae,Hibberdiales,Stylococcaceae,Litt. Rev.,Autotroph
Chrysosphaerella,CHRYSOPHYTES,Chrysophyceae,Paraphysomonadales,Chrysosphaerellaceae,Litt. Rev.,Mixotroph
Pedinella,OTHER,Dictyochophyceae,Pedinellales,Pedinellaceae,Litt. Rev.,Mixotroph
Pseudocharaciopsis,EUSTIGMATOPHYTES,Eustigmatophyceae,Eustigmatales,Pseudocharaciopsidaceae,Litt. Rev.,Autotroph
Goniochloris,EUSTIGMATOPHYTES,Eustigmatophyceae,Goniochloridales,Goniochloridaceae,DB Scrap.,Autotroph
Tetraedriella,EUSTIGMATOPHYTES,Eustigmatophyceae,Goniochloridales,Goniochloridaceae,Litt. Rev.,Autotroph
Stichogloea,OTHER,Phaeothamniophyceae,Phaeothamniales,Phaeothamniaceae,Litt. Rev.,Autotroph
Gonyostomum,OTHER,Raphidophyceae,Chattonellales,Vacuolariaceae,Litt. Rev.,Autotroph
Mallomonas,CHRYSOPHYTES,Synurophyceae,Synurales,Mallomonadaceae,Litt. Rev.,Autotroph
Spiniferomonas,CHRYSOPHYTES,Synurophyceae,Synurales,Synuraceae,DB Scrap.,Autotroph
Synura,CHRYSOPHYTES,Synurophyceae,Synurales,Synuraceae,Litt. Rev.,Autotroph
Centritractus,YELLOW-GREEN ALGAE,Xanthophyceae,Mischococcales,Centritractaceae,DB Scrap.,Autotroph
Characiopsis,YELLOW-GREEN ALGAE,Xanthophyceae,Mischococcales,Characiopsidaceae,Litt. Rev.,Autotroph
Peroniella,YELLOW-GREEN ALGAE,Xanthophyceae,Mischococcales,Characiopsidaceae,Litt. Rev.,Autotroph
Ophiocytium,YELLOW-GREEN ALGAE,Xanthophyceae,Mischococcales,Ophiocytiaceae,DB Scrap.,Autotroph
